# Program:featureCounts v1.5.1; Command:"featureCounts" "-a" "cufflinks_assemble/star/merged.gtf" "-t" "exon" "-s" "2" "-p" "-B" "-C" "-T" "24" "-o" "cufflinks_counts/star/feature_counts.tsv" "align/star/inplanta-3KO-020.bam" "align/star/inplanta-3KO-021.bam" "align/star/inplanta-3KO-022.bam" "align/star/inplanta-3KO-023.bam" "align/star/inplanta-Pf2-024.bam" "align/star/inplanta-Pf2-025.bam" "align/star/inplanta-Pf2-026.bam" "align/star/inplanta-Pf2-027.bam" "align/star/inplanta-SN15-016.bam" "align/star/inplanta-SN15-017.bam" "align/star/inplanta-SN15-018.bam" "align/star/inplanta-SN15-019.bam" "align/star/invitro-3KO-004.bam" "align/star/invitro-3KO-005.bam" "align/star/invitro-3KO-006.bam" "align/star/invitro-3KO-007.bam" "align/star/invitro-Pf2-008.bam" "align/star/invitro-Pf2-009.bam" "align/star/invitro-Pf2-010.bam" "align/star/invitro-Pf2-011.bam" "align/star/invitro-SN15-000.bam" "align/star/invitro-SN15-001.bam" "align/star/invitro-SN15-002.bam" "align/star/invitro-SN15-003.bam" 
Geneid	Chr	Start	End	Strand	Length	align/star/inplanta-3KO-020.bam	align/star/inplanta-3KO-021.bam	align/star/inplanta-3KO-022.bam	align/star/inplanta-3KO-023.bam	align/star/inplanta-Pf2-024.bam	align/star/inplanta-Pf2-025.bam	align/star/inplanta-Pf2-026.bam	align/star/inplanta-Pf2-027.bam	align/star/inplanta-SN15-016.bam	align/star/inplanta-SN15-017.bam	align/star/inplanta-SN15-018.bam	align/star/inplanta-SN15-019.bam	align/star/invitro-3KO-004.bam	align/star/invitro-3KO-005.bam	align/star/invitro-3KO-006.bam	align/star/invitro-3KO-007.bam	align/star/invitro-Pf2-008.bam	align/star/invitro-Pf2-009.bam	align/star/invitro-Pf2-010.bam	align/star/invitro-Pf2-011.bam	align/star/invitro-SN15-000.bam	align/star/invitro-SN15-001.bam	align/star/invitro-SN15-002.bam	align/star/invitro-SN15-003.bam
XLOC_000011	scaffold_001;scaffold_001	114060;115122	115073;115891	+;+	1784	200	248	302	213	125	128	203	79	545	557	482	650	811	878	651	730	719	486	616	596	504	531	554	553
XLOC_000012	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	116368;116368;117950;117950;118340;118392;118392;118392	117856;117856;118337;118365;118365;119271;119490;119490	+;+;+;+;+;+;+;+	3004	9	7	12	8	3	2	8	6	14	19	20	21	46	48	36	55	32	40	38	38	42	23	41	40
XLOC_000013	scaffold_001	120332	121312	+	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2
XLOC_000014	scaffold_001	121839	122987	+	1149	323	302	361	280	174	231	298	242	608	715	838	997	310	430	288	345	213	186	203	251	295	201	302	234
XLOC_000015	scaffold_001;scaffold_001	124913;125722	125610;128218	+;+	3195	8	9	21	13	3	8	12	4	24	43	34	28	37	92	51	59	99	54	71	60	122	87	143	94
XLOC_000016	scaffold_001	131956	133104	+	1149	2	1	6	7	0	3	0	1	14	5	9	13	6	13	4	14	7	0	1	2	19	6	24	11
XLOC_000017	scaffold_001;scaffold_001	133767;134794	134740;135625	+;+	1806	121	86	464	263	85	57	58	39	2016	1532	2356	1263	97	180	81	206	99	32	49	33	507	701	262	401
XLOC_000018	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	139291;139308;139624;139624;139735;139735;139830;139830;139956;139958	139573;139573;139686;139686;139783;139783;139913;139911;141317;141352	+;+;+;+;+;+;+;+;+;+	1876	737	860	1219	1001	311	377	536	307	1814	1825	1772	2066	1557	1938	1548	1736	2655	2204	2450	2318	1895	2275	1981	1776
XLOC_000019	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	141466;141531;144160;144281;144281;144673;144786	144221;143504;144221;144640;144617;146211;146085	+;+;+;+;+;+;+	4655	812	950	1480	1055	370	432	605	378	2276	2374	2931	3279	555	591	533	461	808	666	756	678	470	524	455	548
XLOC_000020	scaffold_001;scaffold_001	171771;171862	171808;172530	+;+	707	146	149	241	169	78	122	136	99	382	343	333	475	727	618	619	457	741	912	683	966	585	685	512	668
XLOC_000021	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	172927;172972;173016;173043;173043;173423;173423;173423;173737;173737;173757	172988;172988;173322;173322;173322;173705;173705;173712;175328;175328;175328	+;+;+;+;+;+;+;+;+;+;+	2251	129	123	171	155	95	96	105	63	282	291	278	303	188	201	175	141	161	132	171	176	126	136	140	145
XLOC_000022	scaffold_001;scaffold_001	179264;179352	181367;180911	+;+	2104	413	507	641	537	172	256	296	205	1092	961	991	1314	5913	4468	4783	3948	2663	3438	2312	3462	3005	3124	2260	3615
XLOC_000023	scaffold_001	182352	182875	+	524	6	5	4	7	1	6	3	6	10	18	11	12	14	10	10	18	22	18	26	15	23	18	17	19
XLOC_000024	scaffold_001;scaffold_001;scaffold_001;scaffold_001	188896;188995;189148;189158	188991;189001;190689;190977	+;+;+;+	1933	623	650	1304	959	210	188	282	174	2563	2352	2289	2377	722	850	693	652	595	508	525	542	1017	1349	1169	1039
XLOC_000025	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	195174;195462;195552;195552;196991;196991;198163;198321;198321;198523;198523	195499;195499;196941;196941;197257;198248;198248;198462;198462;198723;198723	+;+;+;+;+;+;+;+;+;+;+	3317	2522	3540	3811	3782	784	968	1058	654	4147	4418	4691	3997	1972	1604	1722	1350	1800	1864	1563	2011	1926	4172	1895	2634
XLOC_000026	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	199796;201610;201931;201931;202286;202286;202546	201871;201871;202230;202230;202491;202602;202720	+;+;+;+;+;+;+	2811	2892	2174	2834	3064	284	186	227	159	1308	1163	1435	1554	93	78	82	69	66	127	63	123	52	64	62	72
XLOC_000027	scaffold_001;scaffold_001;scaffold_001	207501;208715;209378	208666;209327;210144	+;+;+	2546	727	739	939	743	441	508	584	528	1646	1390	1389	1724	1060	1109	982	1109	1551	1178	1471	1228	1072	1193	1104	895
XLOC_000028	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	210530;210530;210545;210613;211251;211251;211251;211685;211846;212118;212118;212292;212292;212292;212292;212292;212571;212571;212571;212599;212599	211201;211201;211728;211201;212238;211728;211728;212238;212238;212238;212238;212516;212544;212516;212518;212516;213262;213326;213326;213326;213326	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2718	10005	7572	15605	9553	977	535	1241	648	14898	11821	15195	20183	262	259	202	173	58	51	45	63	226	199	131	159
XLOC_000029	scaffold_001	216695	217379	+	685	3	0	0	0	2	5	1	0	4	1	1	0	7	8	6	4	5	2	3	6	12	4	10	5
XLOC_000030	scaffold_001	226627	227653	+	1027	378	517	503	508	113	143	141	51	775	705	705	823	95	133	126	160	312	210	294	221	150	194	153	163
XLOC_000031	scaffold_001	229465	230636	+	1172	8	8	10	11	3	4	6	3	21	35	12	26	26	20	11	10	12	7	7	13	9	21	19	13
XLOC_000032	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	257968;258190;258233;258251;258360;258378	258179;258197;258294;258312;259745;259827	+;+;+;+;+;+	1768	857	1066	1353	1058	371	426	477	267	2348	2348	2204	2552	1337	1626	1390	1674	3647	2757	3258	2981	1702	2168	1971	1799
XLOC_000033	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	259942;259980;260155;260273;260273;260273;260391;260391;260391;260511;260511;260511;260652;260659;260678	260223;260223;260223;260294;260294;260294;260459;260459;260459;260602;260628;260602;261317;261358;261358	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1198	698	660	1111	777	160	309	317	215	1222	1270	1222	1458	679	1196	731	1123	2160	1152	1902	1226	1372	1373	1357	1128
XLOC_000034	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	262121;262121;262350;264641;264766;264938;264938;265479;265726;265726;265726;266012;266012;266012;266314;266314;266314;267355;267355;267717	264868;264434;263393;264700;264868;265668;265668;265668;265822;265822;265822;266258;266258;266258;267114;267306;267306;268939;268939;268325	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6401	593	666	771	636	472	721	843	489	1525	1604	1728	1760	795	1123	806	1227	1635	1136	1444	1265	1149	1288	1461	1070
XLOC_000035	scaffold_001	272778	273780	+	1003	690	434	699	485	187	353	442	415	1058	941	968	1519	502	697	483	586	923	687	852	846	636	691	656	546
XLOC_000036	scaffold_001;scaffold_001;scaffold_001;scaffold_001	274380;274717;274801;275262	274668;274740;275206;275793	+;+;+;+	1251	124	103	150	99	105	131	114	98	306	262	255	369	231	241	213	283	225	229	213	278	224	216	235	187
XLOC_000037	scaffold_001	279715	285487	+	5773	357	295	494	279	378	428	737	1046	1361	853	1115	1317	1216	3378	1491	3239	3363	2793	2975	2065	2964	2906	3049	1642
XLOC_000038	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	288147;288170;289983;289983;290861;291799;291930;292321	289930;289930;290801;290718;291734;291873;292271;292976	+;+;+;+;+;+;+;+	4550	791	856	1054	922	378	470	513	364	954	912	957	1045	4806	6126	4833	4738	4087	2827	3125	3108	7882	7670	4189	8479
XLOC_000039	scaffold_001;scaffold_001;scaffold_001;scaffold_001	293831;295493;295723;295723	295671;295671;296662;298430	+;+;+;+	4549	250	286	346	259	153	164	234	207	604	606	684	803	1814	1752	1404	1143	761	1253	749	1214	1772	2152	1652	1395
XLOC_000040	scaffold_001	298754	300223	+	1470	1444	1687	2092	1587	1410	1873	2611	2998	3279	3514	2992	3232	3297	4247	3352	3990	3120	4440	2580	4336	9312	10613	10999	8573
XLOC_000041	scaffold_001	302765	303782	+	1018	533	398	632	454	187	287	366	299	1006	887	957	1236	714	912	744	773	1342	1186	1290	1264	999	1177	1043	1032
XLOC_000042	scaffold_001;scaffold_001;scaffold_001;scaffold_001	304217;304649;304902;305080	304584;304855;305025;305283	+;+;+;+	903	14	8	18	4	6	5	13	12	21	25	17	21	24	21	18	13	18	23	19	26	38	33	40	16
XLOC_000043	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	308010;308227;308442;308587;308587;308661;308661	308368;308538;308538;308597;308597;308907;308885	+;+;+;+;+;+;+	787	3187	1427	6863	1235	671	3873	5271	7145	5278	4743	12162	27097	709	724	582	901	1249	1168	1033	1087	781	780	808	582
XLOC_000044	scaffold_001	311330	314831	+	3502	59	65	46	44	12	50	60	26	63	45	84	79	68	42	56	33	22	21	25	40	45	29	32	39
XLOC_000045	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	319402;319555;319674;320079;320079;321167;321371;321371;322574;322574;323977;324534;324534	319408;320023;320023;321006;321305;321305;322516;322516;323637;324480;324480;324979;324979	+;+;+;+;+;+;+;+;+;+;+;+;+	5202	3106	2606	3494	3123	528	470	837	568	5359	6827	7595	7484	419	615	385	496	914	565	767	595	774	875	801	748
XLOC_000046	scaffold_001;scaffold_001	325613;325803	325755;326829	+;+	1170	7	19	27	11	6	18	5	5	29	38	50	36	1	13	7	8	6	7	7	7	7	6	18	6
XLOC_000047	scaffold_001;scaffold_001;scaffold_001	329848;329990;330475	329936;330421;331443	+;+;+	1490	272	211	279	212	82	114	125	146	447	485	473	553	1014	1350	1104	1441	1189	856	1089	893	817	470	903	579
XLOC_000048	scaffold_001	335954	337137	+	1184	3	0	4	3	1	0	0	1	1	1	3	6	39	54	28	33	15	15	21	24	28	22	29	14
XLOC_000049	scaffold_001;scaffold_001	337400;337706	337655;337821	+;+	372	0	0	0	0	0	2	3	2	7	0	2	4	11	6	3	6	17	4	21	6	9	6	11	10
XLOC_000050	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	339113;339203;339691;339691;339843;339843;340940;340940;341642	339637;339637;339791;339791;340886;340886;341304;343721;343354	+;+;+;+;+;+;+;+;+	4452	927	1195	2074	1301	725	1251	1967	2556	1832	2014	1819	3002	103	114	85	139	841	1114	834	1031	288	282	294	232
XLOC_000051	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	345091;345378;345636;345636;346685;346685;347367;347605;347605;348667;348667	345585;345585;346634;346634;347554;347040;347554;348613;348613;348727;349591	+;+;+;+;+;+;+;+;+;+;+	4298	1447	1601	2493	1933	305	280	407	242	3819	3746	3548	3840	1669	1479	1421	1462	914	1046	911	861	853	763	815	942
XLOC_000052	scaffold_001;scaffold_001	353574;353826	353769;354634	+;+	1005	40	20	24	22	6	16	16	10	37	48	37	28	161	120	115	101	135	162	107	181	45	57	48	69
XLOC_000053	scaffold_001	360747	362474	+	1728	195	249	394	302	73	78	93	48	502	587	482	607	833	581	652	438	639	572	572	563	369	485	351	516
XLOC_000054	scaffold_001;scaffold_001;scaffold_001	363286;363407;363523	363352;363462;363645	+;+;+	246	53	39	80	84	138	39	136	59	689	1231	1471	966	1	1	1	0	0	0	0	1	3	3	2	4
XLOC_000055	scaffold_001;scaffold_001	373492;373984	373930;375912	+;+	2368	589	625	858	676	225	327	397	385	1361	1372	1395	1721	1578	1682	1429	1130	1176	991	1013	1096	1537	1416	1406	1783
XLOC_000056	scaffold_001;scaffold_001	376792;377196	376994;378595	+;+	1603	330	165	385	158	93	136	157	154	466	480	412	534	226	261	211	195	453	350	423	421	270	328	277	290
XLOC_000057	scaffold_001	381217	382347	+	1131	6	7	8	3	93	276	140	70	55	153	63	25	134	123	90	75	188	124	192	174	102	257	119	57
XLOC_000058	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	382655;382655;382655;382704;382874;382876;382876;382876;382954;382954;382954;382968;383303;383303;383303;383303;383822;383970;383970;383970;383970;384124;384124;384124;384124;384545;384545;384545;384948;384948;384948;384948;385842;385842;385842;385842	382817;382817;382817;382817;382897;382897;382897;382911;383253;383253;383253;383253;383535;383919;383919;383919;383919;384049;384049;384049;384049;384156;384272;384272;384889;384889;384889;384889;385790;385790;385790;385790;386178;386249;386249;386249	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3215	1631	1289	1921	1315	646	1119	1260	1022	3585	3776	3695	4695	1912	2268	1817	2079	4727	3740	4564	3684	2055	2209	2244	1936
XLOC_000059	scaffold_001;scaffold_001;scaffold_001;scaffold_001	386632;386743;386981;387394	386693;386925;387339;387539	+;+;+;+	750	131	145	131	105	43	67	81	26	333	339	298	328	206	269	217	214	405	231	382	260	327	395	360	299
XLOC_000060	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	389038;389200;389305;389793;390058	389156;389249;389730;390003;391365	+;+;+;+;+	2114	58	53	65	46	24	28	32	20	69	88	83	120	88	168	106	95	156	103	124	105	367	373	321	317
XLOC_000061	scaffold_001	397639	398836	+	1198	186	115	236	168	87	104	131	156	356	422	367	478	146	207	133	149	331	177	299	217	276	197	266	154
XLOC_000062	scaffold_001	409809	413928	+	4120	23	16	34	19	18	17	15	13	72	53	41	55	108	107	83	57	76	47	65	60	84	63	88	59
XLOC_000063	scaffold_001;scaffold_001;scaffold_001	414777;414986;415207	414929;415157;415369	+;+;+	488	642	569	886	640	150	232	346	251	1115	1242	1164	1631	2215	2209	1907	1851	2501	2436	2162	2508	2401	2717	2210	2595
XLOC_000064	scaffold_001;scaffold_001;scaffold_001	415642;415920;416605	415873;416558;417753	+;+;+	2020	34	24	32	13	15	12	18	10	59	52	39	70	284	227	269	217	227	236	139	251	192	232	180	196
XLOC_000065	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	420116;420260;420485;421708;421708	420358;421655;421655;421926;421780	+;+;+;+;+	1759	160	127	205	133	69	83	101	41	364	366	379	469	315	385	289	416	348	332	272	287	185	186	164	247
XLOC_000066	scaffold_001;scaffold_001;scaffold_001	423978;424487;424612	424431;424545;424942	+;+;+	844	24	17	66	28	19	16	54	26	122	149	219	201	55	258	69	243	80	25	38	37	189	105	304	149
XLOC_000067	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	433964;434326;434663;436010;436521	434274;434615;435958;436470;437325	+;+;+;+;+	3163	1817	1876	2572	2006	958	1173	1601	1211	4524	4220	3596	4167	4594	4555	3857	3954	6604	5917	6420	5701	4499	4132	4334	3033
XLOC_000068	scaffold_001;scaffold_001	438017;438063	440163;439305	+;+	2147	90	71	57	42	38	83	73	32	105	140	67	93	509	757	433	348	225	255	161	318	526	484	437	694
XLOC_000069	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	442307;442548;442743;443255;443444;443444;443668;443668	442477;442681;443393;443393;443617;443617;443820;443726	+;+;+;+;+;+;+;+	1283	69	45	69	59	26	35	34	47	128	114	109	144	256	221	193	127	131	142	92	154	149	112	146	141
XLOC_000070	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	448907;449268;449288;449838;449998;449998;449998;449998;450083;450083;450083;450083;450649;450649;450854;450854;451306;451306;451306;451550;451550;451550;451550;451768;451768;451768;451768	449937;449937;449937;449937;450029;450029;450029;450029;450595;450594;450594;450594;451492;451236;451236;451236;451492;451492;451492;451715;451715;451715;451715;453410;452445;453410;453410	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4229	85	61	91	69	25	49	53	27	186	166	149	161	83	86	63	78	155	108	119	128	97	78	100	81
XLOC_000071	scaffold_001	457504	459246	+	1743	571	448	690	496	236	291	379	360	1150	1075	1115	1370	334	418	327	348	638	440	627	451	371	417	414	371
XLOC_000072	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	459712;460066;460230;460439;460439;460775;460775	460014;460365;460365;460721;460721;461887;461844	+;+;+;+;+;+;+	1999	355	352	507	431	131	187	179	93	699	1214	866	806	691	504	604	429	366	336	337	412	360	416	347	433
XLOC_000073	scaffold_001	464244	464937	+	694	9815	7251	13359	9257	4134	3630	5717	4556	11694	12628	10961	12926	10661	13347	9283	11500	4566	5753	4789	7085	9590	8143	10255	7613
XLOC_000074	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	465248;465248;465303;465542;465542;465931;465931;465931	465884;465302;465335;465884;465884;466240;466384;466384	+;+;+;+;+;+;+;+	1091	110	73	123	94	40	95	97	65	128	154	120	159	165	188	159	170	193	193	186	161	107	192	150	101
XLOC_000075	scaffold_001;scaffold_001;scaffold_001;scaffold_001	468120;468497;468691;468871	468447;468642;468824;469057	+;+;+;+	795	0	2	0	0	0	5	2	0	16	22	7	16	13	10	15	5	3	4	2	8	5	6	9	8
XLOC_000076	scaffold_001;scaffold_001;scaffold_001	469686;470254;470446	470203;470390;472667	+;+;+	2877	404	535	634	565	206	256	316	198	1203	1259	1103	1134	2636	2361	2131	1734	1509	1458	1397	1637	1745	1676	1418	1677
XLOC_000077	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	476767;477141;477435;477679;477841	477046;477381;477625;477790;479437	+;+;+;+;+	2421	501	537	643	517	236	315	381	234	1249	1240	1087	1323	1515	1821	1389	1759	2027	1619	1778	1599	1539	1643	1619	1351
XLOC_000078	scaffold_001	482197	483294	+	1098	5459	3662	8827	5369	594	343	792	265	9348	7633	8734	10239	155	157	142	112	26	14	23	18	131	160	74	133
XLOC_000079	scaffold_001	484044	484804	+	761	18	29	34	13	69	53	59	59	29	55	43	49	37	92	41	117	41	20	35	29	74	27	97	26
XLOC_000080	scaffold_001;scaffold_001;scaffold_001;scaffold_001	489321;489510;489816;490651	489444;489767;490599;491290	+;+;+;+	1806	94	80	83	79	108	92	111	82	197	158	134	211	44	62	49	30	38	23	27	26	69	45	93	58
XLOC_000081	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	491774;491934;492399;492399;494069;494544;494544;494972;494972;495587;495587;495724;495724	492350;492350;493909;494479;494479;494922;494922;495537;495537;495673;495673;496239;496433	+;+;+;+;+;+;+;+;+;+;+;+;+	4400	939	1191	1519	1277	437	521	611	340	2804	2904	2326	2641	2442	1938	1952	1739	1699	1793	1612	1658	1369	1520	1217	1383
XLOC_000082	scaffold_001;scaffold_001	497950;498764	498706;501016	+;+	3010	30	37	44	26	17	24	32	3	45	51	91	75	8	11	8	11	20	13	26	3	4	9	4	5
XLOC_000083	scaffold_001;scaffold_001;scaffold_001;scaffold_001	504993;505411;505733;505733	505611;505611;506332;507058	+;+;+;+	1945	8	12	14	10	13	13	11	21	25	35	24	34	26	61	25	32	42	27	32	39	33	28	47	19
XLOC_000084	scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001;scaffold_001	511912;512023;512351;512568;513008;513256;513512;513655	511972;512292;512511;512962;513204;513458;513602;513833	+;+;+;+;+;+;+;+	1557	7	7	13	13	9	7	12	2	9	15	17	25	27	36	28	41	37	22	30	32	35	29	44	25
